Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\HeLa_siRNAP8-P6_stimulation-3pRNA.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-22 15:51:13 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
C10;siPARP6.1;PARP6;UNKNOWN;SYBR;None;0,994566738605499;0,306951552629471;3,22253775596619;27,0740966796875;27,8103294372559;1,06694424152374;;10,5262584686279;0,693141877651215;;;0,00785994529724121;VRAI;1,7365901864063;VRAI;3;19;1;;Y
C11;siPARP6.1;PARP6;UNKNOWN;SYBR;None;0,994566738605499;0,306951552629471;3,22253775596619;28,5528945922852;27,8103294372559;1,06694424152374;;10,5262584686279;0,693141877651215;;;0,00785994529724121;VRAI;1,7365901864063;VRAI;3;20;1;;Y
C12;siPARP6.1;PARP6;UNKNOWN;SYBR;None;0,994566738605499;0,306951552629471;3,22253775596619;28,884578704834;27,8103294372559;1,06694424152374;;10,5262584686279;0,693141877651215;;;0,00785994529724121;VRAI;1,7365901864063;VRAI;3;21;1;;Y
D1;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,453358381986618;0,29768893122673;0,690431535243988;29,0895767211914;28,7813091278076;0,392324954271317;;11,6596746444702;0,248004987835884;;;1,14127612113953;VRAI;1,7365901864063;VRAI;3;21;1;;N
D2;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,453358381986618;0,29768893122673;0,690431535243988;29,0606689453125;28,7813091278076;0,392324954271317;;11,6596746444702;0,248004987835884;;;1,14127612113953;VRAI;1,7365901864063;VRAI;3;21;1;;N
D3;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,453358381986618;0,29768893122673;0,690431535243988;28,7283592224121;28,7813091278076;0,392324954271317;;11,6596746444702;0,248004987835884;;;1,14127612113953;VRAI;1,7365901864063;VRAI;3;21;1;;N
D4;siPARP6.2;PARP6;UNKNOWN;SYBR;None;0,453358381986618;0,29768893122673;0,690431535243988;28,2466297149658;28,7813091278076;0,392324954271317;;11,6596746444702;0,248004987835884;;;1,14127612113953;VRAI;1,7365901864063;VRAI;3;20;1;;N
D5;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,80750298500061;0,514985978603363;1,26617252826691;28,3966655731201;28,0835075378418;0,270448446273804;;10,8268585205078;0,265205472707748;;;0,308460474014282;VRAI;1,7365901864063;VRAI;3;20;1;;N
D6;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,80750298500061;0,514985978603363;1,26617252826691;28,2130279541016;28,0835075378418;0,270448446273804;;10,8268585205078;0,265205472707748;;;0,308460474014282;VRAI;1,7365901864063;VRAI;3;20;1;;N
D7;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,80750298500061;0,514985978603363;1,26617252826691;27,8047161102295;28,0835075378418;0,270448446273804;;10,8268585205078;0,265205472707748;;;0,308460474014282;VRAI;1,7365901864063;VRAI;3;19;1;;N
D8;siPARP8.1;PARP6;UNKNOWN;SYBR;None;0,80750298500061;0,514985978603363;1,26617252826691;27,919620513916;28,0835075378418;0,270448446273804;;10,8268585205078;0,265205472707748;;;0,308460474014282;VRAI;1,7365901864063;VRAI;3;20;1;;N
D9;siPARP8.2;PARP6;UNKNOWN;SYBR;None;0,958189010620117;0,30143791437149;3,04582190513611;27,2002696990967;26,3824272155762;0,970919013023376;;10,5800161361694;0,681859195232391;;;0,0616178512573242;VRAI;1,7365901864063;VRAI;3;19;1;;Y
D10;siPARP8.2;PARP6;UNKNOWN;SYBR;None;0,958189010620117;0,30143791437149;3,04582190513611;27,225887298584;26,3824272155762;0,970919013023376;;10,5800161361694;0,681859195232391;;;0,0616178512573242;VRAI;1,7365901864063;VRAI;3;19;1;;Y
D11;siPARP8.2;PARP6;UNKNOWN;SYBR;None;0,958189010620117;0,30143791437149;3,04582190513611;25,3676605224609;26,3824272155762;0,970919013023376;;10,5800161361694;0,681859195232391;;;0,0616178512573242;VRAI;1,7365901864063;VRAI;3;17;1;;Y
D12;siPARP8.2;PARP6;UNKNOWN;SYBR;None;0,958189010620117;0,30143791437149;3,04582190513611;25,7358913421631;26,3824272155762;0,970919013023376;;10,5800161361694;0,681859195232391;;;0,0616178512573242;VRAI;1,7365901864063;VRAI;3;18;1;;Y
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
E4;Control;PARP8;UNKNOWN;SYBR;None;1;0,582304000854492;1,71731615066528;27,9333400726318;28,0552139282227;0,734394609928131;;9,79033088684082;0,363745033740997;;;0;VRAI;1,71552373721073;VRAI;3;20;1;;Y
;;;;;;;;;;;;;;;;;;;;;;;;;
E6;Control;PARP8;UNKNOWN;SYBR;None;1;0,582304000854492;1,71731615066528;27,971061706543;28,0552139282227;0,734394609928131;;9,79033088684082;0,363745033740997;;;0;VRAI;1,71552373721073;VRAI;3;20;1;;Y
