Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\Overexpression_HeLa2_cGAS-RIGI.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-08-05 16:34:46 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
E1;RIG1 8.1;PARP8;UNKNOWN;SYBR;None;0,209936037659645;0,175985306501389;0,25043648481369;26,4651432037354;26,2974014282227;0,146788492798805;;12,4205093383789;0,0916621312499046;;;2,25197815895081;VRAI;1,42972319897483;VRAI;3;19;1;;N
E2;RIG1 8.1;PARP8;UNKNOWN;SYBR;None;0,209936037659645;0,175985306501389;0,25043648481369;26,1924648284912;26,2974014282227;0,146788492798805;;12,4205093383789;0,0916621312499046;;;2,25197815895081;VRAI;1,42972319897483;VRAI;3;18;1;;N
E3;RIG1 8.1;PARP8;UNKNOWN;SYBR;None;0,209936037659645;0,175985306501389;0,25043648481369;26,2345943450928;26,2974014282227;0,146788492798805;;12,4205093383789;0,0916621312499046;;;2,25197815895081;VRAI;1,42972319897483;VRAI;3;18;1;;N
E4;RIG1 8.2;PARP8;UNKNOWN;SYBR;None;0,296190142631531;0,247145369648933;0,354967594146729;27,4209117889404;27,260103225708;0,158383578062057;;11,9239358901978;0,0940640643239021;;;1,75540447235107;VRAI;1,42972319897483;VRAI;3;20;1;;N
E5;RIG1 8.2;PARP8;UNKNOWN;SYBR;None;0,296190142631531;0,247145369648933;0,354967594146729;27,2551383972168;27,260103225708;0,158383578062057;;11,9239358901978;0,0940640643239021;;;1,75540447235107;VRAI;1,42972319897483;VRAI;3;20;1;;N
E6;RIG1 8.2;PARP8;UNKNOWN;SYBR;None;0,296190142631531;0,247145369648933;0,354967594146729;27,1042613983154;27,260103225708;0,158383578062057;;11,9239358901978;0,0940640643239021;;;1,75540447235107;VRAI;1,42972319897483;VRAI;3;19;1;;N
E7;cGAS Control;PARP8;UNKNOWN;SYBR;None;0,241280615329742;0,190697550773621;0,305280953645706;27,1689052581787;27,3369827270508;0,20669025182724;;12,219747543335;0,122251875698566;;;2,05121612548828;VRAI;1,42972319897483;VRAI;3;19;1;;N
E8;cGAS Control;PARP8;UNKNOWN;SYBR;None;0,241280615329742;0,190697550773621;0,305280953645706;27,5677642822266;27,3369827270508;0,20669025182724;;12,219747543335;0,122251875698566;;;2,05121612548828;VRAI;1,42972319897483;VRAI;3;20;1;;N
E9;cGAS Control;PARP8;UNKNOWN;SYBR;None;0,241280615329742;0,190697550773621;0,305280953645706;27,2742805480957;27,3369827270508;0,20669025182724;;12,219747543335;0,122251875698566;;;2,05121612548828;VRAI;1,42972319897483;VRAI;3;19;1;;N
E10;cGAS 8.1;PARP8;UNKNOWN;SYBR;None;0,220971539616585;0,196288079023361;0,248758971691132;27,1173782348633;27,1033535003662;0,0850610211491585;;12,3465986251831;0,0615492165088654;;;2,178067445755;VRAI;1,42972319897483;VRAI;3;19;1;;N
